countrycode,country,year,gdppc,log_gdppc
CHN,China,1833,846.9,6.74158262392755
CHN,China,1834,847.2,6.7419367942872
CHN,China,1835,847.5,6.74229083925461
CHN,China,1836,847.8,6.74264475891854
CHN,China,1837,848.1,6.74299855336765
CHN,China,1838,848.4,6.74335222269053
CHN,China,1839,848.7,6.74370576697563
CHN,China,1840,849,6.74405918631135
CHN,China,1841,849.9,6.74511869550458
CHN,China,1842,850.8,6.74617708332608
CHN,China,1843,851.7,6.74723435214704
CHN,China,1844,852.6,6.74829050433111
CHN,China,1845,853.5,6.7493455422345
CHN,China,1846,854.4,6.75039946820593
CHN,China,1847,855.3,6.75145228458674
CHN,China,1848,856.2,6.75250399371085
CHN,China,1849,857.1,6.75355459790484
CHN,China,1850,858,6.75460409948796
CHN,China,1851,862.35,6.75966122073741
CHN,China,1852,866.7,6.7646928961403
CHN,China,1853,871.05,6.76969938048617
CHN,China,1854,875.4,6.7746809247568
CHN,China,1855,879.75,6.77963777620169
CHN,China,1856,884.1,6.78457017841176
CHN,China,1857,888.45,6.78947837139108
CHN,China,1858,892.8,6.79436259162705
CHN,China,1859,897.15,6.79922307215868
CHN,China,1860,901.5,6.80406004264337
CHN,China,1861,905.85,6.80887372942202
CHN,China,1862,910.2,6.81366435558254
CHN,China,1863,914.55,6.81843214102194
CHN,China,1864,918.9,6.82317730250684
CHN,China,1865,923.25,6.82790005373267
CHN,China,1866,927.6,6.83260060538138
CHN,China,1867,931.95,6.83727916517781
CHN,China,1868,936.3,6.84193593794484
CHN,China,1869,940.65,6.84657112565714
CHN,China,1870,945,6.85118492749374
CHN,China,1871,943.058823529412,6.84912865982838
CHN,China,1872,941.117647058824,6.8470681552125
CHN,China,1873,939.176470588235,6.84500339614953
CHN,China,1874,937.235294117647,6.84293436503429
CHN,China,1875,935.294117647059,6.84086104415211
CHN,China,1876,933.352941176471,6.83878341567787
CHN,China,1877,931.411764705882,6.83670146167516
CHN,China,1878,929.470588235294,6.83461516409528
CHN,China,1879,927.529411764706,6.83252450477634
CHN,China,1880,925.588235294118,6.83042946544229
CHN,China,1881,923.647058823529,6.82833002770199
CHN,China,1882,921.705882352941,6.82622617304819
CHN,China,1883,919.764705882353,6.82411788285663
CHN,China,1884,917.823529411765,6.82200513838497
CHN,China,1885,915.882352941177,6.81988792077183
CHN,China,1886,913.941176470588,6.81776621103579
CHN,China,1887,912,6.81563999007433
CHN,China,1888,929.333333333333,6.83446748321231
CHN,China,1889,946.666666666667,6.85294704248714
CHN,China,1890,964,6.87109129461055
CHN,China,1891,964.8,6.87192082597292
CHN,China,1892,965.6,6.87274966978332
CHN,China,1893,966.4,6.87357782718055
CHN,China,1894,967.2,6.87440529930058
CHN,China,1895,968,6.87523208727658
CHN,China,1896,968.8,6.87605819223888
CHN,China,1897,969.6,6.87688361531505
CHN,China,1898,970.4,6.87770835762984
CHN,China,1899,971.2,6.87853242030523
CHN,China,1900,972,6.87935580446044
CHN,China,1901,965.909090909091,6.87306972099425
CHN,China,1902,959.818181818182,6.86674387258519
CHN,China,1903,953.727272727273,6.86037775293312
CHN,China,1904,947.636363636364,6.85397084600631
CHN,China,1905,941.545454545455,6.84752262579051
CHN,China,1906,935.454545454546,6.84103255602973
CHN,China,1907,929.363636363636,6.83450008995864
CHN,China,1908,923.272727272727,6.8279246700262
CHN,China,1909,917.181818181818,6.82130572761001
CHN,China,1910,911.090909090909,6.8146426827213
CHN,China,1911,905,6.80793494369993
CHN,China,1912,945,6.85118492749374
CHN,China,1913,985,6.89264164117209
CHN,China,1914,986.125,6.89378312141525
CHN,China,1915,987.25,6.89492330016676
CHN,China,1916,988.375,6.89606218039109
CHN,China,1917,989.5,6.89719976504262
CHN,China,1918,990.625,6.89833605706565
CHN,China,1919,991.75,6.89947105939444
CHN,China,1920,992.875,6.9006047749533
CHN,China,1921,994,6.90173720665657
CHN,China,1922,995.125,6.90286835740874
CHN,China,1923,996.25,6.90399823010443
CHN,China,1924,997.375,6.90512682762845
CHN,China,1925,998.5,6.90625415285587
CHN,China,1926,999.625,6.90738020865205
CHN,China,1927,1000.75,6.90850499787268
CHN,China,1928,1001.875,6.90962852336382
CHN,China,1929,1003,6.91075078796194
CHN,China,1930,1012,6.91968384984741
CHN,China,1931,1015,6.92264389147589
CHN,China,1932,1039,6.94601399109923
CHN,China,1933,923,6.82762923450285
CHN,China,1934,937,6.84268328223842
CHN,China,1935,1007,6.91473089271856
CHN,China,1936,1065,6.97073007814353
CHN,China,1937,1034,6.94119005506837
CHN,China,1938,1003,6.91075078796194
CHN,China,1939,986,6.89365635460264
CHN,China,1940,969,6.87626461189077
CHN,China,1941,952,6.85856503479137
CHN,China,1942,935,6.84054652928869
CHN,China,1943,918,6.82219739062049
CHN,China,1944,901,6.80350525760834
CHN,China,1945,884,6.78445706263764
CHN,China,1946,867,6.76503897678054
CHN,China,1947,850,6.74523634948436
CHN,China,1948,833,6.72503364216684
CHN,China,1949,816,6.70441435496411
CHN,China,1950,799,6.68336094576628
CHN,China,1951,950,6.85646198459459
CHN,China,1952,1047,6.95368421087054
CHN,China,1953,1157,7.05358572719368
CHN,China,1954,1049,6.9555926083963
CHN,China,1955,1119,7.02019070831193
CHN,China,1956,1189,7.08086789669078
CHN,China,1957,1195,7.08590146436561
CHN,China,1958,1173,7.06731984865348
CHN,China,1959,1117,7.0184017990692
CHN,China,1960,1057,6.96318998587024
CHN,China,1961,874,6.77308037565554
CHN,China,1962,926,6.83087423464618
CHN,China,1963,1034,6.94119005506837
CHN,China,1964,1152,7.04925484125584
CHN,China,1965,1253,7.13329595489607
CHN,China,1966,1261,7.13966033596492
CHN,China,1967,1237,7.12044437239249
CHN,China,1968,1178,7.07157336421153
CHN,China,1969,1264,7.1420365747068
CHN,China,1970,1398,7.24279792279376
CHN,China,1971,1446,7.27655640271871
CHN,China,1972,1431,7.26612877955645
CHN,China,1973,1513,7.32184971378836
CHN,China,1974,1519,7.32580750259577
CHN,China,1975,1594,7.37400185935016
CHN,China,1976,1519,7.32580750259577
CHN,China,1977,1583,7.36707705988101
CHN,China,1978,1744,7.46393660446893
CHN,China,1979,1859,7.52779398772144
CHN,China,1980,1930,7.56527528189893
CHN,China,1981,1962,7.58171964012531
CHN,China,1982,2128,7.66293785046154
CHN,China,1983,2227,7.70841066725737
CHN,China,1984,2444,7.80139132029149
CHN,China,1985,2619,7.87054784450771
CHN,China,1986,2748,7.91862865334224
CHN,China,1987,2931,7.98309894071089
CHN,China,1988,3045,8.021256180144
CHN,China,1989,3022,8.01367414283268
CHN,China,1990,2982,8.00034949532468
CHN,China,1991,3051.3151,8.0233279569978
CHN,China,1992,3227.7441,8.07953875115447
CHN,China,1993,3506.4801,8.16236799278619
CHN,China,1994,3730.1641,8.2242075063082
CHN,China,1995,3999.7292,8.29398193781028
CHN,China,1996,4219.6442,8.34750609067933
CHN,China,1997,4310.8282,8.36888532241048
CHN,China,1998,4309.8472,8.36865773003315
CHN,China,1999,4466.7363,8.40441328670162
CHN,China,2000,4730.3544,8.46175540468339
CHN,China,2001,4995.1447,8.51622165963203
CHN,China,2002,5343.1123,8.58356358989149
CHN,China,2003,5649.4632,8.6393158107773
CHN,China,2004,6067.5912,8.71071696839014
CHN,China,2005,6626.5918,8.79884589369192
CHN,China,2006,7271.0357,8.89165402255411
CHN,China,2007,7895.7129,8.9740752202699
CHN,China,2008,8190.1121,9.01068286417713
CHN,China,2009,8734.0406,9.07498338253482
CHN,China,2010,9658.4186,9.17558520780113
CHN,China,2011,10221,9.23219970632908
CHN,China,2012,10680,9.27612811251419
CHN,China,2013,11328,9.3350328159335
CHN,China,2014,11944,9.38798433921903
CHN,China,2015,12244,9.4127913000653
CHN,China,2016,12569,9.43898874392484
CHN,China,2017,12733.9314,9.45202547340996
CHN,China,2018,13101.7064,9.48049776024819
DEU,Germany,1821,1574,7.36137542897735
DEU,Germany,1822,1598.20689655172,7.37663759013048
DEU,Germany,1823,1622.41379310345,7.39167031502705
DEU,Germany,1824,1646.62068965517,7.40648039986201
DEU,Germany,1825,1670.8275862069,7.42107434326413
DEU,Germany,1826,1695.03448275862,7.43545836341801
DEU,Germany,1827,1719.24137931035,7.44963841397207
DEU,Germany,1828,1743.44827586207,7.46362019883427
DEU,Germany,1829,1767.65517241379,7.47740918594767
DEU,Germany,1830,1791.86206896552,7.49101062012915
DEU,Germany,1831,1816.06896551724,7.50442953504656
DEU,Germany,1832,1840.27586206897,7.51767076440288
DEU,Germany,1833,1864.48275862069,7.53073895238958
DEU,Germany,1834,1888.68965517241,7.54363856346565
DEU,Germany,1835,1912.89655172414,7.55637389151395
DEU,Germany,1836,1937.10344827586,7.56894906842174
DEU,Germany,1837,1961.31034482759,7.58136807212844
DEU,Germany,1838,1985.51724137931,7.59363473417969
DEU,Germany,1839,2009.72413793103,7.60575274682376
DEU,Germany,1840,2033.93103448276,7.61772566968301
DEU,Germany,1841,2058.13793103448,7.62955693603077
DEU,Germany,1842,2082.34482758621,7.64124985870115
DEU,Germany,1843,2106.55172413793,7.65280763565734
DEU,Germany,1844,2130.75862068966,7.66423335524177
DEU,Germany,1845,2154.96551724138,7.67553000112972
DEU,Germany,1846,2179.1724137931,7.68670045700627
DEU,Germany,1847,2203.37931034483,7.69774751098479
DEU,Germany,1848,2227.58620689655,7.70867385978422
DEU,Germany,1849,2251.79310344828,7.71948211268039
DEU,Germany,1850,2276,7.73017479524622
DEU,Germany,1851,2244,7.71601526664259
DEU,Germany,1852,2273,7.72885582385254
DEU,Germany,1853,2252,7.71957398925958
DEU,Germany,1854,2300,7.74066440191724
DEU,Germany,1855,2263,7.72444664563354
