Location,Population,Total in km2 (mi2),Population Density
Sri Lanka,21763170,67240.0,323.66403926234386
Malawi,20734262,118484.0,174.99630329833565
Kazakhstan,20464077,2724910.0,7.510001064255333
Chile,20206953,756102.0,26.72516803288445
Zambia,19693423,752612.0,26.166767205412615
Somalia,19655000,637657.0,30.82378143735582
Chad,19340757,1284000.0,15.062894859813085
Romania,19036031,238398.0,79.84979320296311
Senegal,18593258,196712.0,94.52020212290049
Netherlands,18130662,41865.0,433.0744536008599
Ecuador,18103660,283561.0,63.843970080511774
Guatemala,18079810,108889.0,166.03890200112042
Cambodia,17577760,181035.0,97.09592067832187
Zimbabwe,17073087,390757.0,43.69233820507374
South Sudan,15786898,644329.0,24.501299801809324
Guinea,14363931,245857.0,58.4239252899043
Rwanda,14104969,26338.0,535.5368289163946
Benin,13224860,114763.0,115.23626952937794
Burundi,12332788,27834.0,443.083566860674
Tunisia,11972169,163610.0,73.17504431269482
Belgium,11917402,30528.0,390.3761137316562
Haiti,11867032,27750.0,427.6407927927928
Jordan,11734000,89318.0,131.37329541637743
Bolivia,11365333,1098581.0,10.34546656095454
United Arab Emirates,11294243,83600.0,135.0986004784689
Czech Republic,10882341,78871.0,137.97645522435369
Dominican Republic,10771504,48670.0,221.31711526607768
Portugal,10749635,92225.0,116.55879642179453
Sweden,10610485,450295.0,23.563408432249968
Tajikistan,10499000,144100.0,72.85912560721721
Greece,10372335,131957.0,78.60390127086855
Azerbaijan,10253647,86600.0,118.40239030023095
Papua New Guinea,10185363,462840.0,22.006228934404977
Israel,10147200,21937.0,462.56097005059945
Honduras,9892632,112492.0,87.94076023183871
Cuba,9748007,109884.0,88.71179607586181
Hungary,9539502,93025.0,102.54772373018005
Austria,9216459,83878.0,109.87933665561887
Belarus,9109280,207600.0,43.87899807321773
Switzerland,9104063,41291.0,220.48540844251775
Sierra Leone,9077691,72300.0,125.55589211618258
Togo,8095498,56785.0,142.56402218895835
Laos,7647000,236800.0,32.29307432432432
Hong Kong (China),7527500,1114.0,6757.181328545781
Libya,7459000,1759540.0,4.239176148311491
Kyrgyzstan,7281800,199949.0,36.41828666309909
Turkmenistan,7057841,488100.0,14.459825855357508
Nicaragua,6803886,130373.0,52.18784564288618
Serbia,6567783,88499.0,74.21307585396445
Central African Republic,6470307,622984.0,10.385992256622963
Bulgaria,6437360,110879.0,58.05752216380018
Republic of the Congo,6142180,342000.0,17.959590643274854
Singapore,6110200,740.0,8257.027027027027
Paraguay,6109644,406752.0,15.020562898277083
El Salvador,6029976,21041.0,286.58219666365665
Denmark,6024684,42947.0,140.281835751042
Finland,5655715,338145.0,16.725709385027134
Norway,5618354,386224.0,14.546879531049338
Lebanon,5490000,10452.0,525.2583237657865
Palestine,5483450,6020.0,910.8720930232558
Ireland,5458600,70273.0,77.6770594680745
Slovakia,5413191,49035.0,110.39443254817988
Oman,5356019,309500.0,17.305392568659126
New Zealand,5334200,268838.0,19.84168904693533
Liberia,5248621,111369.0,47.128204437500564
Costa Rica,5191824,51180.0,101.44243845252052
Mauritania,4927532,1030700.0,4.780762588532066
Kuwait,4881254,17818.0,273.9507239869795
Panama,4064780,75320.0,53.96680828465215
Croatia,3866233,56594.0,68.31524543237799
Georgia,3704500,69700.0,53.149210903873744
Eritrea,3607000,117600.0,30.671768707482993
Mongolia,3544835,1564116.0,2.266350449710891
Uruguay,3499451,176215.0,19.858984762931644
Bosnia and Herzegovina,3412000,51209.0,66.62891288640668
Puerto Rico (US),3203295,9100.0,352.0104395604396
Qatar,3173024,11586.0,273.86708095977906
Armenia,3076200,29743.0,103.42601620549372
Namibia,3022401,824292.0,3.666663027179689
Lithuania,2895826,65286.0,44.35600281836841
Jamaica,2774538,10991.0,252.4372668546993
Gabon,2469296,267668.0,9.225219301522783
Gambia,2422712,11295.0,214.49420097388224
Moldova,2381300,33847.0,70.35483203828996
Albania,2363314,28748.0,82.20794490051482
Botswana,2359609,582000.0,4.054310996563574
Slovenia,2130986,20273.0,105.11448724905046
Lesotho,2116427,30355.0,69.72251688354473
Latvia,1827800,64594.0,28.296745827785863
North Macedonia,1822612,25713.0,70.88289970054058
Guinea-Bissau,1781308,36125.0,49.30956401384083
Equatorial Guinea,1668768,28051.0,59.49049944743503
Bahrain,1594654,778.0,2049.683804627249
Kosovo,1585566,10887.0,145.63846789749243
Estonia,1369995,45339.0,30.216700853569776
Trinidad and Tobago,1367764,5127.0,266.7766725180417
Mauritius,1243741,2096.0,593.3878816793894
Eswatini,1235549,17363.0,71.15988020503369
Djibouti,1066809,23200.0,45.98314655172414
Cyprus,966400,9251.0,104.46438222894822
Comoros,919901,1861.0,494.30467490596453
Fiji,900869,18272.0,49.303250875656744
Bhutan,784043,38394.0,20.420977236026463
Guyana,772975,214969.0,3.5957510152626657
Solomon Islands,750325,28896.0,25.96639673311185
Macau (China),686600,33.0,20806.060606060608
Luxembourg,681973,2586.0,263.71732405259087
Montenegro,623327,13812.0,45.12938024905879
Suriname,616500,163820.0,3.763276767183494
Western Sahara (disputed),600904,266000.0,2.2590375939849623
Malta,574250,315.0,1823.015873015873
Maldives,515132,300.0,1717.1066666666666
Cape Verde,491233,4033.0,121.80337217951897
Northern Cyprus,476214,3355.0,141.94157973174367
Brunei,455500,5765.0,79.0112749349523
Belize,417634,22965.0,18.185673851513172
Bahamas,398165,13880.0,28.686239193083573
Iceland,393160,103000.0,3.817087378640777
Transnistria,367776,4163.0,88.3439827047802
Vanuatu,321409,12189.0,26.368775125112805
French Polynesia (France),279500,4167.0,67.07463402927766
Barbados,267800,431.0,621.3457076566125
New Caledonia (France),264596,18575.0,14.244737550471063
Abkhazia,244236,8665.0,28.1864974033468
São Tomé and Príncipe,209607,964.0,217.43464730290455
Samoa,205557,2842.0,72.32828993666432
Saint Lucia,184100,616.0,298.8636363636364
Curaçao (Netherlands),156115,444.0,351.61036036036035
Guam (US),153836,541.0,284.35489833641407
Seychelles,122729,457.0,268.5536105032823
Kiribati,120740,811.0,148.87792848335388
Saint Vincent and the Grenadines,110872,389.0,285.0179948586118
Grenada,109021,345.0,316.00289855072464
Aruba (Netherlands),108880,180.0,604.8888888888889
Micronesia,105564,702.0,150.3760683760684
Antigua and Barbuda,103603,442.0,234.39592760180994
Jersey (UK),103267,116.0,890.2327586206897
Tonga,100179,747.0,134.10843373493975
Andorra,88941,468.0,190.0448717948718
U.S. Virgin Islands (US),87146,347.0,251.14121037463977
Cayman Islands (UK),84738,264.0,320.97727272727275
Isle of Man (UK),84530,572.0,147.77972027972027
Dominica,67408,750.0,89.87733333333334
Guernsey (UK),64781,78.0,830.525641025641
Bermuda (UK),64055,54.0,1186.2037037037037
Greenland (Denmark),56831,2166086.0,0.026236723749657215
South Ossetia,56520,3900.0,14.492307692307692
Faroe Islands (Denmark),54870,1393.0,39.38980617372577
Saint Kitts and Nevis,51320,261.0,196.62835249042146
Turks and Caicos Islands (UK),50828,948.0,53.61603375527426
American Samoa (US),49710,199.0,249.79899497487438
Northern Mariana Islands (US),47329,457.0,103.56455142231947
Marshall Islands,42418,181.0,234.353591160221
Sint Maarten (Netherlands),41349,34.0,1216.1470588235295
Liechtenstein,41024,160.0,256.4
British Virgin Islands (UK),39471,151.0,261.3973509933775
Monaco,38423,2.0,19211.5
Gibraltar (UK),38196,6.8,5617.058823529412
San Marino,34154,61.0,559.9016393442623
Saint Martin (France),31496,53.0,594.2641509433962
