year,Brazil,China,Germany,India,Japan,Nigeria,United Kingdom,United States
1989,9.027978814382207,8.013674142832684,10.18085410246038,7.612831030407357,10.26119696123165,7.455298485683291,10.1721396990811,10.51205675662078
1990,8.967249182852276,8.000349495324684,10.14215005950801,7.643482907077201,10.30725121400453,7.480428306074208,10.17309475426038,10.51818658676693
1991,8.97310404484369,8.0233279569978,10.19503565350994,7.631582089731921,10.3364845135712,7.472502734502491,10.15782014158415,10.50407958869409
1992,8.963517963735145,8.079538751154466,10.21775272752432,7.656931786202935,10.34102656596917,7.492169652986621,10.15774926054032,10.52514676035985
1993,9.007763322798132,8.162367992786185,10.21283450985263,7.685440187917436,10.33917982524247,7.505354476464801,10.17919858212071,10.53904627621263
1994,9.061340087728537,8.224207506308195,10.2449493171625,7.720860417228836,10.34610158810531,7.50675912870464,10.21381903458677,10.56636313687725
1995,9.099598111786182,8.29398193781028,10.27052177043207,7.764704924955091,10.36996238790595,7.523501571687567,10.23499088600832,10.58128313296509
1996,9.118720146907558,8.347506090679325,10.28704723922541,7.814225184017118,10.39770069599168,7.562207576116115,10.25668514448836,10.60690063296398
1997,9.149522547122244,8.368885322410476,10.31516480525661,7.829639020775629,10.40542256165134,7.589480274042095,10.28396860208767,10.63879991233971
1998,9.150495660325735,8.368657730033146,10.34591391288075,7.867787796235564,10.39078412446231,7.613751999465763,10.31152882282051,10.67064601128937
1999,9.1528975659359,8.404413286701615,10.37622506631166,7.903869839192879,10.38574441276048,7.618166327699039,10.33956386037759,10.70494748012725
2000,9.19364420343685,8.461755404683394,10.41533117196866,7.920477561689044,10.41063063807376,7.670813429447673,10.37180339264175,10.73392559224968
2001,9.205660387914502,8.51622165963203,10.44174216647218,7.950803940285592,10.41170153192587,7.733168113957864,10.39391988143619,10.7337411788459
2002,9.234551785882207,8.583563589891488,10.45134679373499,7.962389068830031,10.41016660615052,7.866771881453763,10.41245051763003,10.74216902466586
2003,9.245185700154682,8.639315810777303,10.45496864335744,8.018270611180478,10.42287486323744,7.954471038721741,10.44092862296405,10.76125884526603
2004,9.301063693666972,8.710716968390143,10.47809647952191,8.074808153322127,10.4432957999633,8.05090342523572,10.459261188851,10.7891689027634
2005,9.333068644213386,8.798845893691915,10.49696839148109,8.130544548035163,10.45903093949165,8.11606481607411,10.48076433717761,10.81284956417034
2006,9.373020772936739,8.891654022554109,10.54571339320908,8.196825682693,10.4725758513878,8.17881618587395,10.49720296319653,10.82952780302282
2007,9.43348443529026,8.9740752202699,10.59042063300702,8.261190364033883,10.48828956779949,8.247346714883054,10.51370620356626,10.83765247896492
2008,9.485241968464564,9.01068286417713,10.61436251821868,8.301684023892172,10.47718170221107,8.314881223135755,10.49860259361843,10.82527805888672
2009,9.486523400612738,9.074983382534816,10.57036618355664,8.359534853609935,10.42198400710762,8.393068162768401,10.44588038752391,10.78834816244164
2010,9.562096118478367,9.175585207801133,10.62399650713281,8.417537593945223,10.46342907312919,8.497983032176192,10.45606354199247,10.80500805767866
2011,9.604474863741963,9.232199706329077,10.67334111217894,8.469682208745185,10.46250316039952,8.544029845369797,10.46227442558794,10.81325706742002
2012,9.614804979750764,9.276128112514186,10.67636970111493,8.503499864284235,10.47953896121983,8.560827228436299,10.46837513440065,10.82762739935368
2013,9.636000187369866,9.3350328159335,10.6785142144061,8.551014739891748,10.50105951817304,8.58858318750291,10.48060640703595,10.83689102268679
2014,9.632859234650175,9.387984339219026,10.69017061248724,8.604837701268284,10.50608072475522,8.624970783589669,10.5033125758647,10.85251649299806
2015,9.669409436169138,9.412791300065303,10.69858193000375,8.664578178329295,10.519510678674,8.626585568187433,10.51707732431265,10.87030028142447
2016,9.537699784080726,9.438988743924838,10.70748266530659,8.720134035412928,10.53116244279841,8.586719254064848,10.52765971859254,10.8783301713599
2017,9.543349468845369,9.452025473409956,10.7280967742139,8.771697942977347,10.55619968974223,8.570002449150483,10.53961000061449,10.89688320038112
2018,9.54920728193428,9.48049776024819,10.74025051596612,8.825633111266765,10.56291785660826,8.563630551817099,10.54686884005801,10.92115618919109
