Country,Year-Month,Monthly_Std_Dev
Estonia,2019-10,13.70565892550573
Estonia,2019-11,10.62969604290606
Estonia,2019-12,10.638165256370717
Estonia,2020-01,11.488005240642801
Estonia,2020-02,15.825092837769715
Estonia,2020-03,13.715906899641201
Estonia,2020-04,12.72309353018152
Estonia,2020-05,16.051855072385
Estonia,2020-06,29.147330679316205
Estonia,2020-07,15.792881234648656
Estonia,2020-08,18.941800945323322
Estonia,2020-09,18.277810898573488
Estonia,2020-10,19.415553753075603
Estonia,2020-11,29.799644369721786
Estonia,2020-12,29.180278791077473
Estonia,2021-01,18.656200900221013
Estonia,2021-02,30.00654038486086
Estonia,2021-03,19.810789867812336
Estonia,2021-04,22.265240318354756
Estonia,2021-05,22.98510714884757
Estonia,2021-06,25.87729147305818
Estonia,2021-07,22.18542151828458
Estonia,2021-08,25.484138461097448
Estonia,2021-09,34.76464289600453
Estonia,2021-10,60.190221254943275
Estonia,2021-11,71.01149196932802
Estonia,2021-12,132.78450999268605
Estonia,2022-01,59.13675749865082
Estonia,2022-02,54.12102071082307
Estonia,2022-03,77.81478477147273
Estonia,2022-04,62.44490589519759
Estonia,2022-05,68.9023961643747
Estonia,2022-06,83.13171699315183
Estonia,2022-07,121.68378698489973
Estonia,2022-08,239.54443837851827
Estonia,2022-09,139.19572500762555
Estonia,2022-10,93.5176614080156
Estonia,2022-11,96.7108776805934
Estonia,2022-12,148.30486221731186
Estonia,2023-01,53.61739997827943
Estonia,2023-02,43.01280503768732
Estonia,2023-03,43.98872759982664
Estonia,2023-04,36.63887032423657
Estonia,2023-05,40.147363268127485
Estonia,2023-06,40.49618557457053
Estonia,2023-07,49.34044766713352
Estonia,2023-08,68.90280493173276
Estonia,2023-09,66.63488605447111
Estonia,2023-10,59.77736079037901
Estonia,2023-11,70.16685963080384
Estonia,2023-12,57.221412987030824
Estonia,2024-01,181.14006294972722
Estonia,2024-02,35.24908177854959
Estonia,2024-03,36.549603312043764
Estonia,2024-04,42.06339133262558
Estonia,2024-05,54.91687852951925
Estonia,2024-06,61.42540486234258
Estonia,2024-07,60.162083094091805
Estonia,2024-08,63.821914897911036
Estonia,2024-09,77.20312616141764
Estonia,2024-10,82.92414605669063
Estonia,2024-11,64.96652406065746
Estonia,2024-12,73.13452436379217
Estonia,2025-01,57.966103117084494
Estonia,2025-02,72.77725266518364
Estonia,2025-03,84.99185303051732
Estonia,2025-04,70.71493257381374
Estonia,2025-05,57.273246924819425
Estonia,2025-06,50.927212439061364
Estonia,2025-07,38.00804318308221
Estonia,2025-08,66.47671115522091
Estonia,2025-09,33.56003076987672
Estonia,2025-10,91.13140320873914
Estonia,2025-11,86.63287989805599
Finland,2015-01,10.01568104305504
Finland,2015-02,9.389078442315085
Finland,2015-03,7.591623804555816
Finland,2015-04,9.564609310896584
Finland,2015-05,10.975353362235088
Finland,2015-06,16.32751597213352
Finland,2015-07,17.635788196799247
Finland,2015-08,18.74556465081972
Finland,2015-09,14.255584582626561
Finland,2015-10,18.86380154676927
Finland,2015-11,13.995585435076665
Finland,2015-12,14.374638558211249
Finland,2016-01,26.90415667690789
Finland,2016-02,9.27049038117771
Finland,2016-03,9.128870539171055
Finland,2016-04,8.048226844405699
Finland,2016-05,10.529891207794766
Finland,2016-06,17.317674125213614
Finland,2016-07,6.748516786476046
Finland,2016-08,7.424760052986149
Finland,2016-09,8.93208069152049
Finland,2016-10,8.821541495110386
Finland,2016-11,9.400661635399892
Finland,2016-12,9.831219921479876
Finland,2017-01,8.164424373931025
Finland,2017-02,8.582245448303317
Finland,2017-03,5.5570580536762275
Finland,2017-04,7.85670735822998
Finland,2017-05,7.330227966518462
Finland,2017-06,11.807288583333493
Finland,2017-07,9.216623090304234
Finland,2017-08,13.40912100981294
Finland,2017-09,8.213441667984235
Finland,2017-10,11.049822648373144
Finland,2017-11,9.642367365896586
Finland,2017-12,8.93547425149517
Finland,2018-01,17.018125700271785
Finland,2018-02,19.590097225068114
Finland,2018-03,18.053730401313537
Finland,2018-04,7.378501427705523
Finland,2018-05,24.060544448124695
Finland,2018-06,9.5299020582805
Finland,2018-07,6.499228289328983
Finland,2018-08,8.586264336513283
Finland,2018-09,13.476746349469572
Finland,2018-10,10.76858644028589
Finland,2018-11,11.14280244124391
Finland,2018-12,9.25790279412489
Finland,2019-01,12.859908860572052
Finland,2019-02,6.857547605367437
Finland,2019-03,6.903824684647109
Finland,2019-04,10.010429757114027
Finland,2019-05,19.64490314186018
Finland,2019-06,19.734297962845936
Finland,2019-07,13.502003684345928
Finland,2019-08,15.946723360040105
Finland,2019-09,19.565908818337512
Finland,2019-10,13.207603767252918
Finland,2019-11,10.627545199927903
Finland,2019-12,10.14355813252265
Finland,2020-01,9.34789133676065
Finland,2020-02,16.10825185298001
Finland,2020-03,13.011037275397367
Finland,2020-04,12.58086976727691
Finland,2020-05,15.627280170702079
Finland,2020-06,24.497203687786516
Finland,2020-07,14.199740439076168
Finland,2020-08,19.121055072470174
Finland,2020-09,18.534381401446435
Finland,2020-10,19.950343918424622
Finland,2020-11,31.06281730572831
Finland,2020-12,30.067916655468064
Finland,2021-01,19.142008355281874
Finland,2021-02,30.481698458448022
Finland,2021-03,17.95749617535629
Finland,2021-04,21.23151116744655
Finland,2021-05,21.67879704136069
Finland,2021-06,27.828677161752015
Finland,2021-07,24.516142985036666
Finland,2021-08,23.346530727329203
Finland,2021-09,32.722376372347455
Finland,2021-10,50.19841703165955
Finland,2021-11,73.67723086834629
Finland,2021-12,137.78759855519397
Finland,2022-01,68.55230975833669
Finland,2022-02,52.59724486514324
Finland,2022-03,75.29351420022135
Finland,2022-04,57.88877697334563
Finland,2022-05,81.14756340873181
Finland,2022-06,98.88611537605802
Finland,2022-07,118.48815234579492
Finland,2022-08,221.66912840316772
Finland,2022-09,141.960520746431
Finland,2022-10,103.23469000068239
Finland,2022-11,116.62420569977554
Finland,2022-12,149.6600628641753
Finland,2023-01,47.14230033287333
Finland,2023-02,47.494990222899595
Finland,2023-03,42.56102842289291
Finland,2023-04,32.005460461325754
Finland,2023-05,32.91127554265473
Finland,2023-06,32.70083697362935
Finland,2023-07,20.61035633635911
Finland,2023-08,75.91739446889288
Finland,2023-09,56.061812269207415
Finland,2023-10,51.588784669889485
Finland,2023-11,98.29663562927483
Finland,2023-12,54.62683741176733
Finland,2024-01,186.9388194816376
Finland,2024-02,43.33528397663321
Finland,2024-03,27.982070883521175
Finland,2024-04,34.32254396295547
Finland,2024-05,54.026447940700365
Finland,2024-06,44.376774394546786
Finland,2024-07,12.649102521936097
Finland,2024-08,17.417879899406866
Finland,2024-09,68.25101638855361
Finland,2024-10,72.76770574898634
Finland,2024-11,48.07341601317577
Finland,2024-12,57.676520063207214
Finland,2025-01,52.720727226988245
Finland,2025-02,55.8769324373704
Finland,2025-03,62.729512272424714
Finland,2025-04,68.99297188088711
Finland,2025-05,30.309702131615328
Finland,2025-06,41.57429517340623
Finland,2025-07,22.036970784600676
Finland,2025-08,62.425707765611115
Finland,2025-09,25.282723190003374
Finland,2025-10,58.45487638155053
Finland,2025-11,21.297830577202568
France,2015-01,10.273904444439145
France,2015-02,10.703899636633253
France,2015-03,12.25278318688579
France,2015-04,12.540134020416211
France,2015-05,9.783023152105802
France,2015-06,10.030298648264719
France,2015-07,12.260243869771505
France,2015-08,8.637321523984845
France,2015-09,10.532066653847275
France,2015-10,10.753345921725003
France,2015-11,13.631649773573777
France,2015-12,13.745076913545764
France,2016-01,14.071583086357663
France,2016-02,9.700087019694978
France,2016-03,8.02902361238056
France,2016-04,6.859685881123942
France,2016-05,9.118506061749326
France,2016-06,7.765987057907104
France,2016-07,8.082793164048141
France,2016-08,8.307847030520128
France,2016-09,9.56943801459417
France,2016-10,18.474791635629746
France,2016-11,58.91749404812749
France,2016-12,17.39545882145401
France,2017-01,25.008740431022204
France,2017-02,12.295600986504544
France,2017-03,9.788166132409813
France,2017-04,8.762504166111798
France,2017-05,8.892476153149303
France,2017-06,9.432902463484131
France,2017-07,8.495086015237243
France,2017-08,9.119591806140921
France,2017-09,9.613678470620808
France,2017-10,13.148785100427185
France,2017-11,20.457451655032962
France,2017-12,22.234652489186534
France,2018-01,13.663256799749032
France,2018-02,14.708242434468417
France,2018-03,15.905062771146603
France,2018-04,12.62003398963996
France,2018-05,14.100658511199528
France,2018-06,12.356537738944112
France,2018-07,8.91397105869023
France,2018-08,10.47275764448946
France,2018-09,11.766206507206839
France,2018-10,14.166881819317053
France,2018-11,23.23103395290233
